# GNSS Interseismic Velocities — North America-Fixed Reference Frame
# Euler pole used: ITRF2014 — Altamimi et al. (2017), ITRF2014
# Pole lat=-0.248° lon=-80.314° omega=0.1860 deg/Myr
# NA-fixed velocity = ITRF velocity − Euler-predicted NA plate motion
# All velocities in mm/yr; uncertainties are 1-sigma formal errors
#
# station        lat        lon        Ve   Ve_sig        Vn   Vn_sig        Vu   Vu_sig   Ve_pred   Vn_pred   n_obs
# ---------------------------------------------------------------------------------------------------------
  p410       46.1111  -123.0786   +2.7653   0.0189   +8.4979   0.0167   -1.2531   0.0501  -11.0048  -14.0429    5764
  p411       45.5380  -123.1574   +2.5628   0.0192   +8.6176   0.0202   -0.7851   0.0521  -10.8858  -14.0637    4610
  p412       45.2211  -122.5891   +1.2370   0.0181   +7.8840   0.0144   -0.8544   0.0457  -10.9257  -13.9126    5627
  p414       45.8349  -122.6928   +1.9173   0.0200   +7.8267   0.0139   -1.1275   0.0481  -11.0218  -13.9403    5837
  p415       46.6560  -123.7299   +5.2367   0.0271   +9.9055   0.0175   +0.1957   0.0519  -10.9870  -14.2145    5571
  p416       47.0399  -121.5969   +0.6652   0.0183   +5.3314   0.0193   -1.0132   0.0512  -11.4349  -13.6456    5162
  p417       46.5747  -123.2979   +3.3353   0.0184   +8.4542   0.0215   -0.7796   0.0529  -11.0499  -14.1009    5699
  p418       47.2366  -123.4078   +4.5681   0.0206   +7.7665   0.0183   -0.4293   0.0517  -11.1487  -14.1299    5842
  p419       47.4093  -123.3665   +4.3845   0.0247   +7.1451   0.0225   +0.1439   0.0610  -11.1869  -14.1190    4866
  p420       46.5886  -122.8663   +2.1498   0.0200   +7.5869   0.0175   -1.3170   0.0457  -11.1293  -13.9865    5682
  p421       46.5319  -122.4292   +1.6157   0.0225   +7.2487   0.0169   -1.0626   0.0586  -11.1961  -13.8699    5841
  p423       47.2879  -122.9412   +3.1586   0.0204   +7.4692   0.0189   -0.3915   0.0551  -11.2420  -14.0064    5465
  p424       47.8232  -122.8747   +3.3671   0.0247   +6.2487   0.0209   -0.1928   0.0568  -11.3494  -13.9887    5689
